key,value
_yasumi_desc,5초간 모든데미지 반사하지만 5초간 아무 데미지도 반사하지 못하면 1의 피해를 입음. 다른 플레이어는 야스미의 스킬시전 여부를 알수 없음. <color=#ff0000> 스킬시전 순간 회피범위내에 투사체가 존재할경우 피해를 받음</color>
_hud_key_desc,이동: W A S D \n 스킬: 스페이스
_hud_kda,$…$킬 $회피
_end_return_after,$ 초후 돌아갑니다...
_end_seconds,$초
_end_new_records,<color=#ff00ff>[신기록]$초</color>
_end_highest_scores,최고득점: $점 $킬 $회피
_end_assoc_team,$님의 $팀
_end_draw,무승부…
_stat_kills,살해:
_stat_wins,승리:
_stat_evades,회피:
_option_mute,소리끄기
_option_aim_at_mouse,마우스방향 조준
_option_force_move,강제WASD이동(wasd조작이 이상하면 체크)
_option_use_xbox,XBOX패드사용
_option_use_ps4,PS4사용
_option_close,닫기
_option_use_mobile,사용중:모바일
_option_use_gamepad,사용중:게임패드
_option_use_keyboard,사용중:키보드
_option_pic_support,"그림지원:jhbk0902, NAVI"
_game_map_reduces,맵 크기가 줄어듭니다!!
_game_error,게임 에러
_game_point_neutralised,$번 지역이 중립화되었습니다.
_game_point_captured,$번 지역이 $팀에게 점령되었습니다.
_chat_attempt_connect,연결시도
_chat_connected_to_server,서버에 연결되었습니다.
_chat_connection_fail_retry,채팅서버에 연결이 끊어졌습니다. 재연결 시도 : 
_chat_enter,채널 입장
_chat_quit,채널 퇴장
_game_toomany_yasumi,야스미가 너무 많습니다
_chat_fail_please_reboot,게임연결이 끊겼습니다. 클라이언트를 재가동해주세요.
_chat_disable_chat,채팅이 비활성화되었습니다.
_chat_enable_chat,채팅이 활성화되었습니다.
_chat_press_enter_to,Enter로 채팅시작
_game_change_diff,난이도가 $로 변경되었습니다.
_game_change_lives,라이프가 $로 변경되었습니다.
_game_mode_changes,게임모드가 $로 변경되었습니다.
_game_version_mismatch,<color=#ff0000>클라이언트 버전</color>이 맞지않습니다. 방장 버전 $
_game_imba_team_numbers, 한명은 팀이 달라야합니다 장애인들아
_game_not_enough_ready,$님이 강제시작을 하려다 실패하였습니다. 요구인원 :$
_game_remaining_player,남은 플레이어
_end_newgame_after,$초후 다음 경기가 시작됩니다...
_game_hp_loss,!!체력손실!!
_game_reflection_penalty,반사 실패 패널티 -1
_game_reflect_damage_to,$님에게 피해 반사
_game_damage_is_reflected,피해가 반사되었습니다!
_msg_fail_evade,회피실패
_msg_player_dead,$님이 사망했습니다
_msg_hit_by,$에게 피격
_msg_hit_to,$를 타격..!
_msg_p_kills_p,$님이 $님을 살해했습니다.
_msg_die_by_trapped,갇혀죽었습니다!
_msg_p_gets_buff,$님이 $ 효과를 받았습니다..!
_msg_joined_in_middle,$님이 난입했습니다.
_msg_respawn_after,$초후 리스폰
_obs_suboptions,맵기믹
_buff_boom,펑!
_buff_cam_shake,뱅글뱅글
_buff_cooltime,쿨타임감소!
_buff_heal,체력회복
_buff_invincible,무적
_buff_movespeed,이동속도
_arakawa,아라카와
_arakawa_desc,피슝파슝!!슉슈ㅠ규슉!! 슬로우 공격후 진짜공격
